date,airport,passengers,,
1/1/2010,"FRANKFURT, DE(FRA)",53 009 221,,
1/1/2010,"DENVER CO, US(DEN)",52 209 377,,
1/1/2010,"HONG KONG, HK(HKG)",50 348 960,,
1/1/2010,"MADRID, ES(MAD)",49 844 596,,
1/1/2010,"DUBAI, AE(DXB)",47 180 628,,
1/1/2010,"NEW YORK NY, US(JFK)",46 514 154,,
1/1/2010,"AMSTERDAM, NL(AMS)",45 211 749,,
1/1/2010,"JAKARTA, ID(CGK)",44 355 998,,
1/1/2010,"BANGKOK, TH(BKK)",42 784 967,,
1/1/2010,"SINGAPORE, SG(SIN)",42 038 777,,
1/1/2010,"GUANGZHOU, CN(CAN)",40 975 673,,
1/1/2010,"SHANGHAI, CN(PVG)",40 578 621,,
1/1/2009,"ATLANTA GA, US (ATL)",88 032 086,,
1/1/2009,"LONDON, GB (LHR)",66 037 578,,
1/1/2009,"BEIJING, CN (PEK)",65 372 012,,
1/1/2009,"CHICAGO IL, US (ORD)",64 158 343,,
1/1/2009,"TOKYO, JP (HND)",61 903 656,,
1/1/2009,"PARIS, FR (CDG)",57 906 866,,
1/1/2009,"LOS ANGELES CA, US (LAX)",56 520 843,,
1/1/2009,"DALLAS/FORT WORTH TX, US (DFW)",56 030 457,,
1/1/2009,"FRANKFURT, DE (FRA)",50 932 840,,
1/1/2009,"DENVER CO, US (DEN)",50 167 485,,
1/1/2009,"MADRID, ES (MAD)",48 250 784,,
1/1/2009,"NEW YORK NY, US (JFK)",45 915 069,,
1/1/2009,"HONG KONG, HK (HKG)",45 558 807,,
1/1/2009,"AMSTERDAM, NL (AMS)",43 570 370,,
1/1/2009,"DUBAI, AE (DXB)",40 901 752,,
1/1/2009,"BANGKOK, TH (BKK)",40 500 224,,
1/1/2009,"LAS VEGAS NV, US (LAS)",40 469 012,,
1/1/2009,"HOUSTON TX, US (IAH)",40 007 354,,
1/1/2009,"PHOENIX AZ, US (PHX)",37 824 982,,
1/1/2009,"SAN FRANCISCO CA, US (SFO)",37 338 942,,
1/1/2008,ATLANTA GA (ATL),90 039 280,,
1/1/2008,CHICAGO IL (ORD),69 353 876,,
1/1/2008,LONDON (LHR),67 056 379,,
1/1/2008,TOKYO (HND),66 754 829,,
1/1/2008,PARIS (CDG),60 874 681,,
1/1/2008,LOS ANGELES CA (LAX),59 497 539,,
1/1/2008,DALLAS/FORT WORTH TX (DFW),57 093 187,,
1/1/2008,BEIJING (PEK),55 937 289,,
1/1/2008,FRANKFURT (FRA),53 467 450,,
1/1/2008,DENVER CO (DEN),51 245 334,,
1/1/2008,MADRID (MAD),50 824 435,,
1/1/2008,HONG KONG (HKG),47 857 746,,
1/1/2008,NEW YORK NY (JFK),47 807 816,,
1/1/2008,AMSTERDAM (AMS),47 430 019,,
1/1/2008,LAS VEGAS NV (LAS),43 208 724,,
1/1/2008,HOUSTON TX (IAH),41 709 389,,
1/1/2008,PHOENIX AZ (PHX),39 891 193,,
1/1/2008,BANGKOK (BKK),38 603 490,,
1/1/2008,SINGAPORE (SIN),37 694 824,,
1/1/2008,DUBAI (DXB),37 441 440,,
1/1/2007,ATLANTA GA (ATL),89 379 287,,
1/1/2007,CHICAGO IL (ORD),76 177 855,,
1/1/2007,LONDON (LHR),68 068 304,,
1/1/2007,TOKYO (HND),66 823 414,,
1/1/2007,LOS ANGELES CA (LAX),61 896 075,,
1/1/2007,PARIS (CDG),59 922 177,,
1/1/2007,DALLAS/FORT WORTH TX (DFW),59 786 476,,
1/1/2007,FRANKFURT (FRA),54 161 856,,
1/1/2007,BEIJING (PEK),53 583 664,,
1/1/2007,MADRID (MAD),52 122 702,,
1/1/2007,DENVER CO (DEN),49 863 352,,
1/1/2007,AMSTERDAM (AMS),47 794 994,,
1/1/2007,NEW YORK NY (JFK),47 716 941,,
1/1/2007,"HONG KONG, CHINA (HKG)",47 042 419,,
1/1/2007,LAS VEGAS NV (LAS),46 961 011,,
1/1/2007,HOUSTON TX (IAH),42 998 040,,
1/1/2007,PHOENIX AZ (PHX),42 184 515,,
1/1/2007,BANGKOK (BKK),41 210 081,,
1/1/2007,SINGAPORE (SIN),36 701 556,,
1/1/2007,ORLANDO FL (MCO),36 480 416,,
1/1/2006,ATLANTA GA (ATL),84 846 639,,
1/1/2006,CHICAGO IL (ORD),76 282 576,,
1/1/2006,LONDON (LHR),67 530 197,,
1/1/2006,TOKYO (HND),66 089 277,,
1/1/2006,LOS ANGELES CA (LAX),61 040 674,,
1/1/2006,DALLAS/FORT WORTH TX (DFW),60 226 829,,
1/1/2006,PARIS (CDG),56 849 567,,
1/1/2006,FRANKFURT (FRA),52 810 683,,
1/1/2006,BEIJING (PEK),48 654 685,,
1/1/2006,DENVER CO (DEN),47 326 506,,
1/1/2006,AMSTERDAM (AMS),46 065 719,,
1/1/2006,MADRID (MAD),45 769 971,,
1/1/2006,LAS VEGAS NV (LAS),45 519 311,,
1/1/2006,HONG KONG (HKG),43 858 230,,
1/1/2006,BANGKOK (BKK),42 800 437,,
1/1/2006,NEW YORK NY (JFK),42 629 283,,
1/1/2006,HOUSTON TX (IAH),42 550 432,,
1/1/2006,PHOENIX AZ (PHX),41 436 498,,
1/1/2006,DETROIT MI (DTW),35 972 673,,
1/1/2006,NEWARK NJ (EWR),35 634 699,,
1/1/2005,"ATLANTA, GA (ATL)",85 907 423,,
1/1/2005,"CHICAGO, IL (ORD)",76 510 003,,
1/1/2005,LONDON (LHR),67 915 403,,
1/1/2005,TOKYO (HND),63 282 219,,
1/1/2005,"LOS ANGELES, CA (LAX)",61 489 398,,
1/1/2005,"DALLAS/FT WORTH AIRPORT, TX (DFW)",59 176 265,,
1/1/2005,PARIS (CDG),53 798 308,,
1/1/2005,FRANKFURT (FRA),52 219 412,,
1/1/2005,AMSTERDAM (AMS),44 163 098,,
1/1/2005,"LAS VEGAS, NV (LAS)",43 989 982,,
1/1/2005,"DENVER, COLORADO (DEN)",43 387 513,,
1/1/2005,MADRID (MAD),41 940 059,,
1/1/2005,"NEW YORK, NY (JFK)",41 885 104,,
1/1/2005,"PHOENIX, ARIZONA (PHX)",41 213 754,,
1/1/2005,BEIJING (PEK),41 004 008,,
1/1/2005,"HONG KONG, CHINA (HKG)",40 269 847,,
1/1/2005,"HOUSTON, TX (IAH)",39 684 640,,
1/1/2005,BANGKOK (BKK),38 985 043,,
1/1/2005,"MINNEAPOLIS/ST PAUL, MN (MSP)",37 604 373,,
